accession,file_accession,target,dataset_description,replicate_libraries,replicate_antibody,controls,controlled_by,paired_end,paired_with,href,md5sum,fiji_file
ENCSR030TJP,ENCFF504ZSA,DACH1,DACH1 ChIP-seq on human K562,ENCLB677GGO,ENCAB722HGQ,ENCSR658AGP,ENCFF608MDV,fastq_2,ENCFF329ZRM,/files/ENCFF504ZSA/@@download/ENCFF504ZSA.fastq.gz,7438f8a1c19816da1b515f892d6f1247,fastq/encode/ENCFF504ZSA.fastq.gz
ENCSR030TJP,ENCFF402INY,DACH1,DACH1 ChIP-seq on human K562,ENCLB982GYY,ENCAB722HGQ,ENCSR658AGP,ENCFF410PHD,fastq_1,ENCFF340IWG,/files/ENCFF402INY/@@download/ENCFF402INY.fastq.gz,9d82e1a77195d3a555a4dd3c387aeb53,fastq/encode/ENCFF402INY.fastq.gz
ENCSR030TJP,ENCFF340IWG,DACH1,DACH1 ChIP-seq on human K562,ENCLB982GYY,ENCAB722HGQ,ENCSR658AGP,ENCFF368UOC,fastq_2,ENCFF402INY,/files/ENCFF340IWG/@@download/ENCFF340IWG.fastq.gz,c4ef22542847c3c80540465e7d81cfaa,fastq/encode/ENCFF340IWG.fastq.gz
ENCSR030TJP,ENCFF329ZRM,DACH1,DACH1 ChIP-seq on human K562,ENCLB677GGO,ENCAB722HGQ,ENCSR658AGP,ENCFF240DTE,fastq_1,ENCFF504ZSA,/files/ENCFF329ZRM/@@download/ENCFF329ZRM.fastq.gz,0837f144bc8433af6cbee2ffdbbe58d5,fastq/encode/ENCFF329ZRM.fastq.gz
ENCSR031TFS,ENCFF272EEG,POLR2A,POLR2A ChIP-seq on human K562,ENCLB623DFV,ENCAB336UOP,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF531FHF,/files/ENCFF272EEG/@@download/ENCFF272EEG.fastq.gz,605fb868e1d04b1a9405842c53e1d70f,fastq/encode/ENCFF272EEG.fastq.gz
ENCSR031TFS,ENCFF959SCN,POLR2A,POLR2A ChIP-seq on human K562,ENCLB610CGS,ENCAB336UOP,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF545PSD,/files/ENCFF959SCN/@@download/ENCFF959SCN.fastq.gz,263940f5ae60c73dc0d1eb12156dce2d,fastq/encode/ENCFF959SCN.fastq.gz
ENCSR031TFS,ENCFF531FHF,POLR2A,POLR2A ChIP-seq on human K562,ENCLB623DFV,ENCAB336UOP,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF272EEG,/files/ENCFF531FHF/@@download/ENCFF531FHF.fastq.gz,637135e153a100bdcf06c3492c6fd4d5,fastq/encode/ENCFF531FHF.fastq.gz
ENCSR031TFS,ENCFF545PSD,POLR2A,POLR2A ChIP-seq on human K562,ENCLB610CGS,ENCAB336UOP,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF959SCN,/files/ENCFF545PSD/@@download/ENCFF545PSD.fastq.gz,3dcbe878c24e3b1b5bcf6789874fc9b4,fastq/encode/ENCFF545PSD.fastq.gz
ENCSR033NQK,ENCFF415BMN,ZNF830,ZNF830 ChIP-seq on human K562,ENCLB504KOE,ENCAB320AXF,ENCSR632PAG,ENCFF498JMO,fastq_1,ENCFF073TIY,/files/ENCFF415BMN/@@download/ENCFF415BMN.fastq.gz,588cf4a66b7d7a6f689eb686a3833920,fastq/encode/ENCFF415BMN.fastq.gz
ENCSR033NQK,ENCFF073TIY,ZNF830,ZNF830 ChIP-seq on human K562,ENCLB504KOE,ENCAB320AXF,ENCSR632PAG,ENCFF502GTS,fastq_2,ENCFF415BMN,/files/ENCFF073TIY/@@download/ENCFF073TIY.fastq.gz,fedbdcdb62d9f1a69f7e6d8007266ded,fastq/encode/ENCFF073TIY.fastq.gz
ENCSR033NQK,ENCFF886VXN,ZNF830,ZNF830 ChIP-seq on human K562,ENCLB231DNX,ENCAB320AXF,ENCSR632PAG,ENCFF837MIV,fastq_2,ENCFF556XCJ,/files/ENCFF886VXN/@@download/ENCFF886VXN.fastq.gz,7bc833c3336aa6390aef59c22557cf67,fastq/encode/ENCFF886VXN.fastq.gz
ENCSR033NQK,ENCFF556XCJ,ZNF830,ZNF830 ChIP-seq on human K562,ENCLB231DNX,ENCAB320AXF,ENCSR632PAG,ENCFF259GQA,fastq_1,ENCFF886VXN,/files/ENCFF556XCJ/@@download/ENCFF556XCJ.fastq.gz,51e6cd383304059c8cf0355603e33d9b,fastq/encode/ENCFF556XCJ.fastq.gz
ENCSR033VAZ,ENCFF654EXQ,TARDBP,TARDBP ChIP-seq on human K562,ENCLB224WPQ,ENCAB000BAX,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF996BVX,/files/ENCFF654EXQ/@@download/ENCFF654EXQ.fastq.gz,29b335c50a868b6736646b9567558772,fastq/encode/ENCFF654EXQ.fastq.gz
ENCSR033VAZ,ENCFF922VLO,TARDBP,TARDBP ChIP-seq on human K562,ENCLB166HWY,ENCAB000BAX,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF228EWB,/files/ENCFF922VLO/@@download/ENCFF922VLO.fastq.gz,8f937084a277f19ee54e8d117e467219,fastq/encode/ENCFF922VLO.fastq.gz
ENCSR033VAZ,ENCFF228EWB,TARDBP,TARDBP ChIP-seq on human K562,ENCLB166HWY,ENCAB000BAX,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF922VLO,/files/ENCFF228EWB/@@download/ENCFF228EWB.fastq.gz,90b297d5d31e912c5be6ad75bdfde918,fastq/encode/ENCFF228EWB.fastq.gz
ENCSR033VAZ,ENCFF996BVX,TARDBP,TARDBP ChIP-seq on human K562,ENCLB224WPQ,ENCAB000BAX,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF654EXQ,/files/ENCFF996BVX/@@download/ENCFF996BVX.fastq.gz,422a745d708ebc4dbc44dfa028ce8833,fastq/encode/ENCFF996BVX.fastq.gz
ENCSR038RGL,ENCFF764UGY,MCM7,MCM7 ChIP-seq on human K562,ENCLB956UEP,ENCAB658SAJ,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF712YHQ,/files/ENCFF764UGY/@@download/ENCFF764UGY.fastq.gz,2796459768c2944a0281fe8295cba3a2,fastq/encode/ENCFF764UGY.fastq.gz
ENCSR038RGL,ENCFF712YHQ,MCM7,MCM7 ChIP-seq on human K562,ENCLB956UEP,ENCAB658SAJ,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF764UGY,/files/ENCFF712YHQ/@@download/ENCFF712YHQ.fastq.gz,a2f3839cc8bab73e4c47b4e81efcc26d,fastq/encode/ENCFF712YHQ.fastq.gz
ENCSR038RGL,ENCFF224YLQ,MCM7,MCM7 ChIP-seq on human K562,ENCLB712EEZ,ENCAB658SAJ,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF736AVM,/files/ENCFF224YLQ/@@download/ENCFF224YLQ.fastq.gz,f4bf578e79d89b55c29db9626e779f93,fastq/encode/ENCFF224YLQ.fastq.gz
ENCSR038RGL,ENCFF736AVM,MCM7,MCM7 ChIP-seq on human K562,ENCLB712EEZ,ENCAB658SAJ,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF224YLQ,/files/ENCFF736AVM/@@download/ENCFF736AVM.fastq.gz,dafb1309e2efdd7fff60df466d9690e8,fastq/encode/ENCFF736AVM.fastq.gz
ENCSR041AXL,ENCFF677RCM,RFX1,RFX1 ChIP-seq on human K562,ENCLB424ZPB,ENCAB000BCV,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF954WVJ,/files/ENCFF677RCM/@@download/ENCFF677RCM.fastq.gz,40ee0c3a3032f9c292822ad3bbd8f4b3,fastq/encode/ENCFF677RCM.fastq.gz
ENCSR041AXL,ENCFF280GFD,RFX1,RFX1 ChIP-seq on human K562,ENCLB627UNC,ENCAB000BCV,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF899IKW,/files/ENCFF280GFD/@@download/ENCFF280GFD.fastq.gz,391251e4993ddb7bbc3ccf133adf80cc,fastq/encode/ENCFF280GFD.fastq.gz
ENCSR041AXL,ENCFF899IKW,RFX1,RFX1 ChIP-seq on human K562,ENCLB627UNC,ENCAB000BCV,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF280GFD,/files/ENCFF899IKW/@@download/ENCFF899IKW.fastq.gz,19a6177f511fc54cb59d191f562ebd00,fastq/encode/ENCFF899IKW.fastq.gz
ENCSR041AXL,ENCFF954WVJ,RFX1,RFX1 ChIP-seq on human K562,ENCLB424ZPB,ENCAB000BCV,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF677RCM,/files/ENCFF954WVJ/@@download/ENCFF954WVJ.fastq.gz,48ffb9f4097a196342b821622ecf4d80,fastq/encode/ENCFF954WVJ.fastq.gz
ENCSR051OUX,ENCFF352NWK,NFATC3,NFATC3 ChIP-seq on human K562,ENCLB320CKB,ENCAB375FHW,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF163AGA,/files/ENCFF352NWK/@@download/ENCFF352NWK.fastq.gz,db09a2963f1c5527bf9887e2014c8e93,fastq/encode/ENCFF352NWK.fastq.gz
ENCSR051OUX,ENCFF106LFT,NFATC3,NFATC3 ChIP-seq on human K562,ENCLB833ZRT,ENCAB375FHW,ENCSR554FDZ,ENCFF002EFA,fastq_2,ENCFF007RQD,/files/ENCFF106LFT/@@download/ENCFF106LFT.fastq.gz,ebb93f2992b5b6638afce0ddc7e5cdc0,fastq/encode/ENCFF106LFT.fastq.gz
ENCSR051OUX,ENCFF163AGA,NFATC3,NFATC3 ChIP-seq on human K562,ENCLB320CKB,ENCAB375FHW,ENCSR554FDZ,ENCFF002EFF,fastq_1,ENCFF352NWK,/files/ENCFF163AGA/@@download/ENCFF163AGA.fastq.gz,13c686b946f93611d38d0033fe4749ec,fastq/encode/ENCFF163AGA.fastq.gz
ENCSR051OUX,ENCFF007RQD,NFATC3,NFATC3 ChIP-seq on human K562,ENCLB833ZRT,ENCAB375FHW,ENCSR554FDZ,ENCFF002EFD,fastq_1,ENCFF106LFT,/files/ENCFF007RQD/@@download/ENCFF007RQD.fastq.gz,f7b3750f273fe677d2aff7e3db553d24,fastq/encode/ENCFF007RQD.fastq.gz
ENCSR065XVO,ENCFF576YEJ,CHAMP1,CHAMP1 ChIP-seq on human K562,ENCLB935DOS,ENCAB986MDC,ENCSR632PAG,ENCFF837MIV,fastq_2,ENCFF088KVK,/files/ENCFF576YEJ/@@download/ENCFF576YEJ.fastq.gz,f277a866800f5768fc8f5dced3ccf551,fastq/encode/ENCFF576YEJ.fastq.gz
ENCSR065XVO,ENCFF088KVK,CHAMP1,CHAMP1 ChIP-seq on human K562,ENCLB935DOS,ENCAB986MDC,ENCSR632PAG,ENCFF259GQA,fastq_1,ENCFF576YEJ,/files/ENCFF088KVK/@@download/ENCFF088KVK.fastq.gz,b08ad475c195484bcca29ac8cd21465c,fastq/encode/ENCFF088KVK.fastq.gz
ENCSR065XVO,ENCFF740JJX,CHAMP1,CHAMP1 ChIP-seq on human K562,ENCLB140LPS,ENCAB986MDC,ENCSR632PAG,ENCFF498JMO,fastq_1,ENCFF507REW,/files/ENCFF740JJX/@@download/ENCFF740JJX.fastq.gz,5038b813bf63efe764ac2d8520186b44,fastq/encode/ENCFF740JJX.fastq.gz
ENCSR065XVO,ENCFF507REW,CHAMP1,CHAMP1 ChIP-seq on human K562,ENCLB140LPS,ENCAB986MDC,ENCSR632PAG,ENCFF502GTS,fastq_2,ENCFF740JJX,/files/ENCFF507REW/@@download/ENCFF507REW.fastq.gz,dda906a04de81ba594a3309c9aeb5542,fastq/encode/ENCFF507REW.fastq.gz
ENCSR068GPE,ENCFF091IYB,Control,Input control ChIP-seq on human eGFP-ZNF507 tagged K562 cell line.,ENCLB958BDW,NA,NA,NA,fastq_2,ENCFF445KUN,/files/ENCFF091IYB/@@download/ENCFF091IYB.fastq.gz,669b0307c5118c56c8cfd52f4224f9e2,fastq/encode/ENCFF091IYB.fastq.gz
ENCSR068GPE,ENCFF445KUN,Control,Input control ChIP-seq on human eGFP-ZNF507 tagged K562 cell line.,ENCLB958BDW,NA,NA,NA,fastq_1,ENCFF091IYB,/files/ENCFF445KUN/@@download/ENCFF445KUN.fastq.gz,00e3e6ff730fca684fd4e9a0a0b5e1f1,fastq/encode/ENCFF445KUN.fastq.gz
ENCSR068VRA,ENCFF708EDK,MCM7,MCM7 ChIP-seq on human K562,ENCLB235XDX,ENCAB317YKX,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF233EXE,/files/ENCFF708EDK/@@download/ENCFF708EDK.fastq.gz,1ce69cdf912a1de5d6ab308c797659b0,fastq/encode/ENCFF708EDK.fastq.gz
ENCSR068VRA,ENCFF233EXE,MCM7,MCM7 ChIP-seq on human K562,ENCLB235XDX,ENCAB317YKX,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF708EDK,/files/ENCFF233EXE/@@download/ENCFF233EXE.fastq.gz,9928d588110b65ccf5131eac62f8a1f7,fastq/encode/ENCFF233EXE.fastq.gz
ENCSR068VRA,ENCFF051EDJ,MCM7,MCM7 ChIP-seq on human K562,ENCLB193OOL,ENCAB317YKX,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF849GAI,/files/ENCFF051EDJ/@@download/ENCFF051EDJ.fastq.gz,b52d6c5d9ce67fa190d64cdffaf41b8b,fastq/encode/ENCFF051EDJ.fastq.gz
ENCSR068VRA,ENCFF849GAI,MCM7,MCM7 ChIP-seq on human K562,ENCLB193OOL,ENCAB317YKX,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF051EDJ,/files/ENCFF849GAI/@@download/ENCFF849GAI.fastq.gz,318838dd58c7cbdac1b51c64cb311e57,fastq/encode/ENCFF849GAI.fastq.gz
ENCSR075HTM,ENCFF362ZRF,HDAC2,HDAC2 ChIP-seq on human K562,ENCLB511MDO,ENCAB170GTK,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF896IZU,/files/ENCFF362ZRF/@@download/ENCFF362ZRF.fastq.gz,e1e5b5b81af1afc9aaee4dd1098b7553,fastq/encode/ENCFF362ZRF.fastq.gz
ENCSR075HTM,ENCFF990UUV,HDAC2,HDAC2 ChIP-seq on human K562,ENCLB207AXV,ENCAB170GTK,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF741IHV,/files/ENCFF990UUV/@@download/ENCFF990UUV.fastq.gz,0c0f9b02f1aea6f7b50dc7a87b10b866,fastq/encode/ENCFF990UUV.fastq.gz
ENCSR075HTM,ENCFF741IHV,HDAC2,HDAC2 ChIP-seq on human K562,ENCLB207AXV,ENCAB170GTK,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF990UUV,/files/ENCFF741IHV/@@download/ENCFF741IHV.fastq.gz,5661a0cd97efbd89bf15824f9a598ba4,fastq/encode/ENCFF741IHV.fastq.gz
ENCSR075HTM,ENCFF896IZU,HDAC2,HDAC2 ChIP-seq on human K562,ENCLB511MDO,ENCAB170GTK,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF362ZRF,/files/ENCFF896IZU/@@download/ENCFF896IZU.fastq.gz,5bc727a0909b4e1710f1ab315146cb89,fastq/encode/ENCFF896IZU.fastq.gz
ENCSR079WHK,ENCFF710PPD,MCM5,MCM5 ChIP-seq on human K562,ENCLB071ZTO,ENCAB158FXS,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF383AYS,/files/ENCFF710PPD/@@download/ENCFF710PPD.fastq.gz,36cc1dba720ca8e530dcb929313c7f8b,fastq/encode/ENCFF710PPD.fastq.gz
ENCSR079WHK,ENCFF238TRM,MCM5,MCM5 ChIP-seq on human K562,ENCLB142QTG,ENCAB158FXS,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF447WZH,/files/ENCFF238TRM/@@download/ENCFF238TRM.fastq.gz,3601227a2c05d3ae1e1055334fb5aa6d,fastq/encode/ENCFF238TRM.fastq.gz
ENCSR079WHK,ENCFF447WZH,MCM5,MCM5 ChIP-seq on human K562,ENCLB142QTG,ENCAB158FXS,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF238TRM,/files/ENCFF447WZH/@@download/ENCFF447WZH.fastq.gz,1729f71214fff845a47177e596b82ce6,fastq/encode/ENCFF447WZH.fastq.gz
ENCSR079WHK,ENCFF383AYS,MCM5,MCM5 ChIP-seq on human K562,ENCLB071ZTO,ENCAB158FXS,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF710PPD,/files/ENCFF383AYS/@@download/ENCFF383AYS.fastq.gz,fb8838685413b1b84e689fc873bd474c,fastq/encode/ENCFF383AYS.fastq.gz
ENCSR085DDI,ENCFF358LFL,NFXL1,NFXL1 ChIP-seq on human K562,ENCLB191LFO,ENCAB208FGX,ENCSR173USI,ENCFF002EFF,fastq_1,ENCFF575GFV,/files/ENCFF358LFL/@@download/ENCFF358LFL.fastq.gz,7b2d76489b47d55831eb2c7d01810fe5,fastq/encode/ENCFF358LFL.fastq.gz
ENCSR085DDI,ENCFF575GFV,NFXL1,NFXL1 ChIP-seq on human K562,ENCLB191LFO,ENCAB208FGX,ENCSR173USI,ENCFF002EFH,fastq_2,ENCFF358LFL,/files/ENCFF575GFV/@@download/ENCFF575GFV.fastq.gz,06b1c04eff54a616cd5900e29a43875c,fastq/encode/ENCFF575GFV.fastq.gz
ENCSR085DDI,ENCFF197EBM,NFXL1,NFXL1 ChIP-seq on human K562,ENCLB322GCM,ENCAB208FGX,ENCSR173USI,ENCFF002EFA,fastq_2,ENCFF277SWU,/files/ENCFF197EBM/@@download/ENCFF197EBM.fastq.gz,e0bbe8bafdfda55197fbb6608d9db3b2,fastq/encode/ENCFF197EBM.fastq.gz
ENCSR085DDI,ENCFF277SWU,NFXL1,NFXL1 ChIP-seq on human K562,ENCLB322GCM,ENCAB208FGX,ENCSR173USI,ENCFF002EFD,fastq_1,ENCFF197EBM,/files/ENCFF277SWU/@@download/ENCFF277SWU.fastq.gz,a724ca1dfa744ffd4100f4bcddf22283,fastq/encode/ENCFF277SWU.fastq.gz
ENCSR085OAX,ENCFF950USL,Control,Input control ChIP-seq on human eGFP-PTTG1 tagged K562 cell line.,ENCLB340ZRV,NA,NA,NA,fastq_2,ENCFF760WPA,/files/ENCFF950USL/@@download/ENCFF950USL.fastq.gz,363c944b08b28abf3cf97f53aeaaf2af,fastq/encode/ENCFF950USL.fastq.gz
ENCSR085OAX,ENCFF760WPA,Control,Input control ChIP-seq on human eGFP-PTTG1 tagged K562 cell line.,ENCLB340ZRV,NA,NA,NA,fastq_1,ENCFF950USL,/files/ENCFF760WPA/@@download/ENCFF760WPA.fastq.gz,afa50f3e29d7f86a8867023c2e921e6b,fastq/encode/ENCFF760WPA.fastq.gz
ENCSR085QEV,ENCFF881JDL,NBN,NBN ChIP-seq on human K562,ENCLB619XMM,ENCAB543ANT,ENCSR554FDZ,ENCFF002EFH,fastq_2,ENCFF854CCC,/files/ENCFF881JDL/@@download/ENCFF881JDL.fastq.gz,aa7bbc22999c06d3a742c28243b8bcfb,fastq/encode/ENCFF881JDL.fastq.gz
